scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
strict_unconditional,central,Wed,5,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Wed,5,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Wed,5,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Wed,5,400,0.3853188178554873,0.39444514532092184,763368
strict_unconditional,central,Wed,6,100,0.026230266842649123,0.031763798589910644,51966
strict_unconditional,central,Wed,6,200,0.10533635887274163,0.11250520245612636,208685
strict_unconditional,central,Wed,6,300,0.23301480733513075,0.2396956664166806,461633
strict_unconditional,central,Wed,6,400,0.3890875829745497,0.39882751902485397,770834
strict_unconditional,central,Wed,7,100,0.02872259882620338,0.03451436949485638,56903
strict_unconditional,central,Wed,7,200,0.11526201655767734,0.12330652640277776,228349
strict_unconditional,central,Wed,7,300,0.25451776425410017,0.2620068092406631,504233
strict_unconditional,central,Wed,7,400,0.4181061567338554,0.4273603907954242,828324
strict_unconditional,central,Wed,8,100,0.037986362306009394,0.04669888981469581,75256
strict_unconditional,central,Wed,8,200,0.15099049935558104,0.1608269045503061,299132
strict_unconditional,central,Wed,8,300,0.32482201429596363,0.335557614594094,643516
strict_unconditional,central,Wed,8,400,0.5184170576307443,0.5309161629139515,1027053
strict_unconditional,central,Wed,9,100,0.3133697902020955,0.37592575509467574,620827
strict_unconditional,central,Wed,9,200,0.7597575393366314,0.7878090161509189,1505181
strict_unconditional,central,Wed,9,300,0.9473585372265287,0.9519464256600082,1876843
strict_unconditional,central,Wed,9,400,0.9884021160625084,0.9886427326270446,1958156
strict_unconditional,central,Wed,10,100,0.3135264701497563,0.3760402072217759,621138
strict_unconditional,central,Wed,10,200,0.7597828486198319,0.7878309984982433,1505231
strict_unconditional,central,Wed,10,300,0.9473723825348982,0.9519464256600082,1876870
strict_unconditional,central,Wed,10,400,0.9884021160625084,0.9886427326270446,1958156
strict_unconditional,central,Wed,11,100,0.3135264701497563,0.3760402072217759,621138
strict_unconditional,central,Wed,11,200,0.7597828486198319,0.7878309984982433,1505231
strict_unconditional,central,Wed,11,300,0.9473723825348982,0.9519464256600082,1876870
strict_unconditional,central,Wed,11,400,0.9884021160625084,0.9886427326270446,1958156
strict_unconditional,central,Wed,12,100,0.3120220983905911,0.3742650103089351,618157
strict_unconditional,central,Wed,12,200,0.758855044838402,0.7872862148842921,1503393
strict_unconditional,central,Wed,12,300,0.9468542220650659,0.9517967840088658,1875844
strict_unconditional,central,Wed,12,400,0.9883113911041218,0.9886247969131087,1957976
strict_unconditional,central,Wed,13,100,0.31235171044063853,0.3745364589945488,618810
strict_unconditional,central,Wed,13,200,0.758761326441352,0.7870733774798434,1503207
strict_unconditional,central,Wed,13,300,0.9469051630055634,0.9517615740829188,1875945
strict_unconditional,central,Wed,13,400,0.9883815966461422,0.9886279437448753,1958115
strict_unconditional,central,Wed,14,100,0.31363125171006606,0.3760238028262094,621345
strict_unconditional,central,Wed,14,200,0.7603004231334438,0.788607377696809,1506256
strict_unconditional,central,Wed,14,300,0.9475085878505811,0.9519464256600082,1877140
strict_unconditional,central,Wed,14,400,0.9884315907878412,0.9886595611491941,1958214
strict_unconditional,central,Wed,15,100,0.3136873472652145,0.3762314376289472,621456
strict_unconditional,central,Wed,15,200,0.7602223468393537,0.7885867191421296,1506101
strict_unconditional,central,Wed,15,300,0.9473471441830622,0.9519356142438858,1876820
